Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,kubic.test.xc.nga.mil,Successful,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170539/screens/http.kubic.test.xc.nga.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170539/source/http.kubic.test.xc.nga.mil.txt
http,80,login.system.tas.xc.nga.mil,Successful,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170539/screens/http.uaa.system.tas.xc.nga.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170539/source/http.login.system.tas.xc.nga.mil.txt
http,80,msi.nga.mil,Timeout,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170539/screens/http.msi.nga.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170539/source/http.msi.nga.mil.txt
https,443,ece.tas.xc.nga.mil,Successful,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170539/screens/https.ece.tas.xc.nga.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170539/source/https.ece.tas.xc.nga.mil.txt
https,443,info.nga.mil,Successful,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170539/screens/https.info.nga.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170539/source/https.info.nga.mil.txt
https,443,int.tas.xc.nga.mil,Successful,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170539/screens/https.int.tas.xc.nga.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170539/source/https.int.tas.xc.nga.mil.txt
https,443,pages.dso.test.xc.nga.mil,Successful,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170539/screens/https.pages.dso.test.xc.nga.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170539/source/https.pages.dso.test.xc.nga.mil.txt
https,443,stage.tas.xc.nga.mil,Successful,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170539/screens/https.stage.tas.xc.nga.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170539/source/https.stage.tas.xc.nga.mil.txt
http,80,system.tas.xc.nga.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170539/screens/http.system.tas.xc.nga.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170539/source/http.system.tas.xc.nga.mil.txt
http,80,uaa.system.tas.xc.nga.mil,Successful,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170539/screens/http.uaa.system.tas.xc.nga.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170539/source/http.uaa.system.tas.xc.nga.mil.txt